/* DATA DESCRIPTION:
Citation:	Meseck, Shannon; Mercaldo-Allen, Renee; Clark, Paul; Kuropat, Catherine; Redman, Dylan H; Veilleux, David; Milke, Lisa (2021): Seawater carbonate chemistry and shell height and lipid concentrations of laboratory-reared larval Atlantic surfclam (Spisula solidissima). PANGAEA, https://doi.org/10.1594/PANGAEA.941768
Abstract:	The Atlantic surfclam (Spisula solidissima) supports a $29.2-million fishery on the northeastern coast of the United States. Increasing global carbon dioxide (CO2) in the atmosphere has resulted in a decrease in ocean pH, known as ocean acidification (OA), in Atlantic surfclam habitat. The effects of OA on larval Atlantic surfclam were investigated for 28 d by using 3 different levels of partial pressure of CO2 (ρCO2): low (344 μatm), medium (821 μatm), and high (1243 μatm). Samples were taken to examine growth, shell height, time to metamorphosis, survival, and lipid concentration. Larvae exposed to a medium ρCO2 level had a hormetic response with significantly greater shell height and growth rates and a higher percentage that metamorphosed by day 28 than larvae exposed to the high- and low-level treatments. No significant difference in survival was observed between treatments. Although no significant difference was found in lipid concentration, Atlantic surfclam did have a similar hormetic response for concentrations of phospholipids, sterols, and triacylglycerols and for the ratio of sterols to phospholipids, indicating that larvae may have a homeoviscous adaptation to OA at medium ρCO2 levels. Our results indicate that larval Atlantic surfclam have some tolerance to slightly elevated ρCO2 concentrations but that, at high ρCO2 levels, they may be susceptible to OA.
Keyword(s):	Animalia; Bottles or small containers/Aquaria (<20 L); Brackish waters; Growth/Morphology; Laboratory experiment; Mollusca; North Atlantic; Other studied parameter or process; Pelagos; Single species; Spisula solidissima; Tropical; Zooplankton
Supplement to:	Meseck, Shannon; Mercaldo-Allen, Renee; Clark, Paul; Kuropat, Catherine; Redman, Dylan H; Veilleux, David; Milke, Lisa (2021): Effects of ocean acidification on larval Atlantic surfclam (Spisula solidissima) from Long Island Sound in Connecticut. Fishery Bulletin, 119(1), 66-76, https://doi.org/10.7755/FB.119.1.8
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise; Orr, James (2021): seacarb: seawater carbonate chemistry with R. R package version 3.2.16. https://cran.r-project.org/web/packages/seacarb/index.html
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Coverage:	MEDIAN LATITUDE: 41.094061 * MEDIAN LONGITUDE: -73.279672 * SOUTH-BOUND LATITUDE: 41.022391 * WEST-BOUND LONGITUDE: -73.452699 * NORTH-BOUND LATITUDE: 41.165732 * EAST-BOUND LONGITUDE: -73.106645
Event(s):	Long_Island_Sound * LATITUDE START: 41.165732 * LONGITUDE START: -73.106645 * LATITUDE END: 41.022391 * LONGITUDE END: -73.452699 * METHOD/DEVICE: Experiment (EXP)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2021) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation by seacarb is 2022-3-1.
Parameter(s):	Type (Type) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: study
	Species (Species) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Registration number of species (Reg spec no) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: WoRMS Aphia ID
	Uniform resource locator/link to reference (URL ref) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Treatment (Treat) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Temperature, water [°C] (Temp) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Salinity (Sal) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	pH (pH) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: seawater scale
	pH (pH) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: in situ, seawater scale
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Calcite saturation state (Omega Cal) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Aragonite saturation state (Omega Arg) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Time in days [days] (Time) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: from Spawn
	Shell height [mm] (Shell h) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Height, standard error [±] (h std e) * PI: Meseck, Shannon (shannon.meseck@noaa.gov) * COMMENT: Shell
	Lipids (Lipids) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Lipids, total [µg/g] (Lipids tot) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Lipids, standard error [±] (Lipids std e) * PI: Meseck, Shannon (shannon.meseck@noaa.gov)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	pH (pH) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010) * COMMENT: total scale
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Alkalinity, total [µmol/kg] (AT) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1688 data points
*/
Type (study)	Species	Reg spec no (WoRMS Aphia ID)	URL ref	Treat	Temp [°C]	Sal	DIC [µmol/kg]	pH (seawater scale)	pH (in situ, seawater scale)	pCO2water_SST_wet [µatm] (Calculated using CO2SYS)	Omega Cal (Calculated using CO2SYS)	Omega Arg (Calculated using CO2SYS)	Time [days] (from Spawn)	Shell h [mm]	h std e [±] (Shell)	Lipids	Lipids tot [µg/g]	Lipids std e [±]	CSC flag (Calculated using seacarb afte...)	pH (total scale, Calculated using...)	CO2 [µmol/kg] (Calculated using seacarb afte...)	fCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	pCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	[HCO3]- [µmol/kg] (Calculated using seacarb afte...)	[CO3]2- [µmol/kg] (Calculated using seacarb afte...)	AT [µmol/kg] (Calculated using seacarb afte...)	Omega Arg (Calculated using seacarb afte...)	Omega Cal (Calculated using seacarb afte...)
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Low pCO2	18.8	25.72	1800.62	7.972	8.073	343.9	3.46	2.18				Triacylglycerols	105.82	89.66	27	8.08	12.06	342.14	343.32	1653.08	135.48	1983.60	2.17	3.45
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Low pCO2	18.8	25.72	1800.62	7.972	8.073	343.9	3.46	2.18				Sterol¨Cphospholipid ratio	0.14	0.02	27	8.08	12.06	342.14	343.32	1653.08	135.48	1983.60	2.17	3.45
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Low pCO2	18.8	25.72	1800.62	7.972	8.073	343.9	3.46	2.18				Total	316.12	173.88	27	8.08	12.06	342.14	343.32	1653.08	135.48	1983.60	2.17	3.45
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Acetone mobile polar lipids	95.94	18.44	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Alcohols			27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Diacylglycerols			27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Ethyl esters			27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Ethyl ketones	50.43	4.69	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Free fatty acids	22.86	4.90	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Glycerol ethers			27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Hydrocarbons	8.23	1.27	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Methyl esters			27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Methyl ketones	50.43	8.16	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Phospholipids	219.68	52.14	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Sterols	32.24	5.04	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Steryl wsters/wax esters	4.65	2.68	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Triacylglycerols	342.17	89.66	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Sterol¨Cphospholipid ratio	0.15	0.02	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	Medium pCO2	18.9	25.73	1903.74	7.629	7.734	820.8	1.74	1.09				Total	806.35	173.88	27	7.74	28.73	817.17	819.99	1806.92	68.09	1973.30	1.09	1.73
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Acetone mobile polar lipids	80.23	18.44	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Alcohols	4.22	2.43	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Diacylglycerols			27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Ethyl esters			27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Ethyl ketones	37.63	4.69	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Free fatty acids	24.36	4.98	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Glycerol ethers			27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Hydrocarbons	5.43	0.54	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Methyl esters			27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Methyl ketones	37.63	8.16	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Phospholipids	199.07	52.14	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Sterols	24.54	5.04	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Steryl wsters/wax esters	1.36	2.68	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Triacylglycerols	220.12	89.66	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Sterol¨Cphospholipid ratio	0.13	0.02	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
laboratory	Spisula solidissima (mollusk)	156996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996	High pCO2	18.9	25.73	1953.32	7.462	7.568	1242.9	1.22	0.77				Total	613.01	173.88	27	7.58	43.38	1234.11	1238.38	1862.06	47.88	1979.00	0.77	1.22
