/* DATA DESCRIPTION:
Citation:	Manno, C; Peck, Victoria L; Tarling, Geraint A (2016): Pteropod eggs released at high pCO2 lack resilience to ocean acidification. PANGAEA, https://doi.org/10.1594/PANGAEA.865341, 
	Supplement to: Manno, C et al. (2016): Pteropod eggs released at high pCO2 lack resilience to ocean acidification. Scientific Reports, 6, 25752, https://doi.org/10.1038/srep25752
Abstract:	The effects of ocean acidification (OA) on the early recruitment of pteropods in the Scotia Sea, was investigated considering the process of spawning, quality of the spawned eggs and their capacity to develop. Maternal OA stress was induced on female pteropods (Limacina helicina antarctica) through exposure to present day pCO2 conditions and two potential future OA states (750 matm and 1200 matm). The eggs spawned from these females, both before and during their exposure to OA, were incubated themselves in this same range of conditions (embryonic OA stress). Maternal OA stress resulted in eggs with lower carbon content, while embryonic OA stress retarded development. The combination of maternal and embryonic OA stress reduced the percentage of eggs successfully reaching organogenesis by 80%. We propose that OA stress not only affects the somatic tissue of pteropods but also the functioning of their gonads. Corresponding in-situ sampling found that post-larval L. helicina antarctica concentrated around 600 m depth, which is deeper than previously assumed. A deeper distribution makes their exposure to waters undersaturated for aragonite more likely in the near future given that these waters are predicted to shoal from depth over the coming decades.
Keyword(s):	Animalia; Antarctic; Bottles or small containers/Aquaria (<20 L); Development; Laboratory experiment; Limacina helicina antarctica; Mollusca; Open ocean; Pelagos; Polar; Reproduction; Single species; Zooplankton
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise (2015): seacarb: seawater carbonate chemistry with R. R package version 3.0.8. https://cran.r-project.org/package=seacarb
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Coverage:	LATITUDE: -55.246000 * LONGITUDE: -41.265000
	DATE/TIME START: 2013-11-01T00:00:00 * DATE/TIME END: 2013-11-30T00:00:00
Event(s):	Scotia_sea * LATITUDE: -55.246000 * LONGITUDE: -41.265000 * DATE/TIME START: 2013-11-01T00:00:00 * DATE/TIME END: 2013-11-30T00:00:00 * METHOD/DEVICE: Experiment (EXP)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2015) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation is 2016-09-12.
Parameter(s):	Type (Type) * PI: Manno, C (clanno@bas.ac.uk)
	Species (Species) * PI: Manno, C (clanno@bas.ac.uk)
	Registration number of species (Reg spec no) * PI: Manno, C (clanno@bas.ac.uk)
	Uniform resource locator/link to reference (URL ref) * PI: Manno, C (clanno@bas.ac.uk)
	Time point, descriptive (Time point) * PI: Manno, C (clanno@bas.ac.uk)
	Treatment (Treat) * PI: Manno, C (clanno@bas.ac.uk)
	Eggs [#] (Eggs) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: per pteropod
	Egg ribbons, per individual [#] (Egg ribbons/ind) * PI: Manno, C (clanno@bas.ac.uk)
	Egg size [µm] (Egg size) * PI: Manno, C (clanno@bas.ac.uk)
	Eggs, carbon content per egg [µg/#] (C/egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: organic carbon
	Egg stages [%] (Egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: no develop
	Egg stages [%] (Egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: morula
	Egg stages [%] (Egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: blastula
	Egg stages [%] (Egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: gastrula
	Egg stages [%] (Egg) * PI: Manno, C (clanno@bas.ac.uk) * COMMENT: organogen
	Temperature, water [°C] (Temp) * PI: Manno, C (clanno@bas.ac.uk)
	Temperature, standard deviation [±] (T std dev) * PI: Manno, C (clanno@bas.ac.uk)
	Salinity (Sal) * PI: Manno, C (clanno@bas.ac.uk)
	Salinity, standard deviation [±] (Sal std dev) * PI: Manno, C (clanno@bas.ac.uk)
	pH (pH) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric * COMMENT: NBS scale
	pH, standard deviation [±] (pH std dev) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric * COMMENT: NBS scale
	Alkalinity, total [µmol/kg] (AT) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric titration
	Alkalinity, total, standard deviation [±] (AT std dev) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric titration
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric titration
	Carbon, inorganic, dissolved, standard deviation [±] (DIC std dev) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Potentiometric titration
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbon dioxide, partial pressure, standard deviation [±] (pCO2 std dev) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Aragonite saturation state (Omega Arg) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Aragonite saturation state, standard deviation [±] (Omega Arg std dev) * PI: Manno, C (clanno@bas.ac.uk) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	pH (pH) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010) * COMMENT: total scale
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1548 data points
*/
Type	Species	Reg spec no	URL ref	Time point	Treat	Eggs [#] (per pteropod)	Egg ribbons/ind [#]	Egg size [µm]	C/egg [µg/#] (organic carbon)	Egg [%] (no develop)	Egg [%] (morula)	Egg [%] (blastula)	Egg [%] (gastrula)	Egg [%] (organogen)	Temp [°C]	T std dev [±]	Sal	Sal std dev [±]	pH (NBS scale, Potentiometric)	pH std dev [±] (NBS scale, Potentiometric)	AT [µmol/kg] (Potentiometric titration)	AT std dev [±] (Potentiometric titration)	DIC [µmol/kg] (Potentiometric titration)	DIC std dev [±] (Potentiometric titration)	pCO2water_SST_wet [µatm] (Calculated using CO2SYS)	pCO2 std dev [±] (Calculated using CO2SYS)	Omega Arg (Calculated using CO2SYS)	Omega Arg std dev [±] (Calculated using CO2SYS)	CSC flag (Calculated using seacarb afte...)	pH (total scale, Calculated using...)	CO2 [µmol/kg] (Calculated using seacarb afte...)	fCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	pCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	[HCO3]- [µmol/kg] (Calculated using seacarb afte...)	[CO3]2- [µmol/kg] (Calculated using seacarb afte...)	Omega Arg (Calculated using seacarb afte...)	Omega Cal (Calculated using seacarb afte...)
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 0 +72h	PH2-1					4.23	6.54	4.02	23.19	62.02	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 0 +72h	PH2-2					3.41	7.01	3.13	21.00	65.45	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 0 +72h	PH2-3					4.01	7.54	2.55	27.21	58.69	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	Control 1										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	Control  2										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	Control 3										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH1-1					4.00	6.35	0.00	30.00	59.65	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH1-2					3.10	5.67	0.00	26.23	65.00	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH1-3					4.67	6.00	0.00	34.12	55.21	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH2-1					9.21	11.10	2.01	36.00	41.68	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH2-2					8.10	12.80	2.56	33.53	43.01	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 2 +72h	PH2-3					9.65	12.22	1.45	39.12	37.56	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	Control 1										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	Control  2										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	Control 3										1.9	0.52	34.1	0.02	8.1	0.02	2330.32	10.5	2218.31	17	375	14	1.42	0.21	15	8.00	26.00	442.42	444.33	2101.11	91.21	1.38	2.19
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH1-1					11.35	8.00	2.09	50.00	28.56	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH1-2					12.23	7.23	2.78	54.23	23.53	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH1-3					13.00	8.75	1.34	46.12	30.79	1.9	0.54	34.1	0.02	7.8	0.01	2330.32	8.9	2281.14	6	750	24	0.91	0.14	15	7.81	42.26	719.14	722.24	2178.56	60.32	0.91	1.45
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH2-1					21.34	16.12	2.33	46.21	14.00	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH2-2					20.15	15.80	2.56	48.09	13.40	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
laboratory	Limacina helicina antarctica (zooplankton)	719576	https://www.marinespecies.org/aphia.php?p=taxdetails&id=719576	day 5 +72h	PH2-3					22.10	16.00	1.01	44.56	16.33	1.9	0.54	34.1	0.02	7.6	0.02	2330.32	9.5	2299.01	11	1200	34	0.76	0.05	15	7.75	48.97	833.40	836.99	2197.10	52.94	0.80	1.27
